state,report_date,as_of_date,self_response,nrfu,enumerated
Florida,2020-08-25,2020-08-24,61.1,9.1,70.3
Georgia,2020-08-25,2020-08-24,59.9,8.8,68.7
Hawaii,2020-08-25,2020-08-24,61.5,23.3,84.8
Idaho,2020-08-25,2020-08-24,68.5,25.9,94.4
Illinois,2020-08-25,2020-08-24,69.3,15.4,84.7
Indiana,2020-08-25,2020-08-24,68.6,16.8,85.4
Iowa,2020-08-25,2020-08-24,69.4,5,74.4
Kansas,2020-08-25,2020-08-24,68.3,19,87.3
Kentucky,2020-08-25,2020-08-24,66.7,9.7,76.5
Louisiana,2020-08-25,2020-08-24,58.1,13.8,71.9
Maine,2020-08-25,2020-08-24,56.7,29.1,85.8
Maryland,2020-08-25,2020-08-24,68.9,14.4,83.3
Massachusetts,2020-08-25,2020-08-24,66.8,15.1,82
Michigan,2020-08-25,2020-08-24,69.6,7.9,77.5
Minnesota,2020-08-25,2020-08-24,73.5,10.6,84.1
Mississippi,2020-08-25,2020-08-24,58.6,11,69.6
Missouri,2020-08-25,2020-08-24,64.3,17.9,82.1
Montana,2020-08-25,2020-08-24,57.8,11,68.8
Nebraska,2020-08-25,2020-08-24,70,10.2,80.2
Nevada,2020-08-25,2020-08-24,63.6,8.9,72.5
New Hampshire,2020-08-25,2020-08-24,64.4,11,75.4
New Jersey,2020-08-25,2020-08-24,66.4,10.3,76.7
New Mexico,2020-08-25,2020-08-24,55,10.5,65.5
New York,2020-08-25,2020-08-24,60.4,13,73.4
North Carolina,2020-08-25,2020-08-24,60.3,9.3,69.6
North Dakota,2020-08-25,2020-08-24,63.6,16.8,80.3
Ohio,2020-08-25,2020-08-24,68.6,12.1,80.7
Oklahoma,2020-08-25,2020-08-24,58.9,15.4,74.3
Oregon,2020-08-25,2020-08-24,67.3,17.9,85.2
Pennsylvania,2020-08-25,2020-08-24,67.3,13.7,81.1
Rhode Island,2020-08-25,2020-08-24,62.3,13.9,76.2
South Carolina,2020-08-25,2020-08-24,58.3,10.2,68.5
South Dakota,2020-08-25,2020-08-24,65.2,10.4,75.6
Tennessee,2020-08-25,2020-08-24,63.8,13.5,77.3
Texas,2020-08-25,2020-08-24,59.8,13.1,72.8
Utah,2020-08-25,2020-08-24,68.8,11.6,80.4
Vermont,2020-08-25,2020-08-24,58.2,16.3,74.4
Virginia,2020-08-25,2020-08-24,69.1,10.9,79.9
Washington,2020-08-25,2020-08-24,70.7,17.3,88.1
West Virginia,2020-08-25,2020-08-24,55.5,33.4,88.9
Wisconsin,2020-08-25,2020-08-24,70.8,14.5,85.3
Wyoming,2020-08-25,2020-08-24,58.7,13.9,72.7
Puerto Rico,2020-08-25,2020-08-24,31.5,32.4,63.9
U.S. Total,2020-08-26,2020-08-25,64.6,13.7,78.3
Alabama,2020-08-26,2020-08-25,61.6,8.8,70.4
Alaska,2020-08-26,2020-08-25,52.5,28.7,81.2
Arizona,2020-08-26,2020-08-25,61,8.6,69.6
Arkansas,2020-08-26,2020-08-25,59,19.1,78.1
California,2020-08-26,2020-08-25,66.7,15.5,82.2
Colorado,2020-08-26,2020-08-25,67.9,12.6,80.5
Connecticut,2020-08-26,2020-08-25,68.7,18.4,87.1
Delaware,2020-08-26,2020-08-25,62.1,13,75.1
District of Columbia,2020-08-26,2020-08-25,61,15,76
Florida,2020-08-26,2020-08-25,61.2,10,71.2
Georgia,2020-08-26,2020-08-25,59.9,9.5,69.4
Hawaii,2020-08-26,2020-08-25,61.5,24.3,85.8
Idaho,2020-08-26,2020-08-25,68.5,26.4,94.9
Illinois,2020-08-26,2020-08-25,69.4,16,85.3
Indiana,2020-08-26,2020-08-25,68.7,17.7,86.4
Iowa,2020-08-26,2020-08-25,69.4,5.7,75.1
Kansas,2020-08-26,2020-08-25,68.4,19.8,88.1
Kentucky,2020-08-26,2020-08-25,66.8,10.5,77.3
Louisiana,2020-08-26,2020-08-25,58.2,14.3,72.5
