state,as_of_date,enumerated,type,finished
Massachusetts,2020-08-23,81.1,observation,2020-10-03
Michigan,2020-08-23,76.7,observation,2020-10-06
Minnesota,2020-08-23,83.3,observation,2020-09-28
Mississippi,2020-08-23,68.9,observation,2020-10-17
Missouri,2020-08-23,81.2,observation,2020-10-02
Montana,2020-08-23,67.9,observation,2020-10-17
Nebraska,2020-08-23,79.4,observation,2020-10-04
Nevada,2020-08-23,71.6,observation,2020-10-07
New Hampshire,2020-08-23,74.2,observation,2020-10-02
New Jersey,2020-08-23,75.8,observation,2020-10-06
New Mexico,2020-08-23,64.5,observation,2020-10-15
New York,2020-08-23,72.3,observation,2020-10-06
North Carolina,2020-08-23,68.7,observation,2020-10-14
North Dakota,2020-08-23,79.5,observation,2020-10-04
Ohio,2020-08-23,79.7,observation,2020-10-03
Oklahoma,2020-08-23,73.5,observation,2020-10-11
Oregon,2020-08-23,84.2,observation,2020-09-30
Pennsylvania,2020-08-23,80.2,observation,2020-10-04
Rhode Island,2020-08-23,75,observation,2020-10-04
South Carolina,2020-08-23,67.7,observation,2020-10-17
South Dakota,2020-08-23,74.7,observation,2020-10-10
Tennessee,2020-08-23,76.2,observation,2020-10-05
Texas,2020-08-23,71.8,observation,2020-10-07
Utah,2020-08-23,79.5,observation,2020-10-01
Vermont,2020-08-23,73.1,observation,2020-09-26
Virginia,2020-08-23,79.1,observation,2020-10-06
Washington,2020-08-23,87.4,observation,2020-09-24
West Virginia,2020-08-23,88.1,observation,2020-09-12
Wisconsin,2020-08-23,84.2,observation,2020-09-25
Wyoming,2020-08-23,71.6,observation,2020-10-11
Puerto Rico,2020-08-23,62.1,observation,2020-09-30
U.S. Total,2020-08-24,77.4,observation,2020-10-07
Alabama,2020-08-24,69.8,observation,2020-10-19
Alaska,2020-08-24,80.1,observation,2020-10-03
Arizona,2020-08-24,68.8,observation,2020-10-14
Arkansas,2020-08-24,76.7,observation,2020-09-27
California,2020-08-24,81.2,observation,2020-10-02
Colorado,2020-08-24,79.8,observation,2020-10-08
Connecticut,2020-08-24,86.2,observation,2020-09-27
Delaware,2020-08-24,74.1,observation,2020-10-10
District of Columbia,2020-08-24,74.9,observation,2020-10-10
Florida,2020-08-24,70.3,observation,2020-10-13
Georgia,2020-08-24,68.7,observation,2020-10-16
Hawaii,2020-08-24,84.8,observation,2020-09-17
